Malicious,Package Repository,Package Name,Number of Words in source code,Number of lines in source code,plus ratio mean,plus ratio max,plus ratio std,plus ratio q3,eq ratio mean,eq ratio max,eq ratio std,eq ratio q3,bracket ratio mean,bracket ratio max,bracket ratio std,bracket ratio q3,Number of base64 chunks in source code,Number of IP adress in source code,Number of sospicious token in source code,Number of Words in metadata,Number of lines in metadata,Number of base64 chunks in metadata,Number of IP adress in metadata,Number of sospicious token in metadata,.bat,.bz2,.c,.cert,.conf,.cpp,.crt,.css,.csv,.deb,.erb,.gemspec,.gif,.gz,.h,.html,.ico,.ini,.jar,.java,.jpg,.js,.json,.key,.m4v,.markdown,.md,.pdf,.pem,.png,.ps,.py,.rb,.rpm,.rst,.sh,.svg,.toml,.ttf,.txt,.xml,.yaml,.yml,.eot,.exe,.jpeg,.properties,.sql,.swf,.tar,.woff,.woff2,.aac,.bmp,.cfg,.dcm,.dll,.doc,.flac,.flv,.ipynb,.m4a,.mid,.mkv,.mp3,.mp4,.mpg,.ogg,.otf,.pickle,.pkl,.psd,.pxd,.pxi,.pyc,.pyx,.r,.rtf,.so,.sqlite,.tif,.tp,.wav,.webp,.whl,.xcf,.xz,.zip,.mov,.wasm,.webm,presence of installation script,shannon mean ID source code,shannon std ID source code,shannon max ID source code,shannon q3 ID source code,shannon mean string source code,shannon std string source code,shannon max string source code,shannon q3 string source code,homogeneous identifiers in source code,homogeneous strings in source code,heteregeneous identifiers in source code,heterogeneous strings in source code,URLs in source code,shannon mean ID metadata,shannon std ID metadata,shannon max ID metadata,shannon q3 ID metadata,shannon mean string metadata,shannon std string metadata,shannon max string metadata,shannon q3 string metadata,homogeneous identifiers in metadata,homogeneous strings in metadata,heterogeneous strings in metadata,URLs in metadata,heteregeneous identifiers in metadata
0,PyPI,pyusb-1.2.1,28234.0,8232.0,0.000470489883818,0.0024147298520977,0.0007294706425986,0.0005977751014972,0.0047701073200005,0.0139860139860139,0.0034982062113124,0.0061004751236421,0.000740605631963,0.002165022853019,0.0006834447800471,0.0012938070345652,20.0,0.0,1.0,665.0,121.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.130304331423908,0.1675667256429799,0.7028195311147831,0.2516291673878228,0.1063889856855984,0.1736580295144401,0.9591479170272448,0.2516291673878228,6751,5362,264,142,3,0.1217196539019447,0.130441145115299,0.4728301523003201,0.2069084251518168,0.1754151452280494,0.1756632100500773,0.7652465283787412,0.2958363892911637,23,117,9,1,0
0,PyPI,pyxform-1.10.1,26944.0,8448.0,0.0004816317618832,0.0024815516228041,0.0007004526643254,0.0007329957411705,0.0057061005137138,0.0216939078751857,0.0045266741132963,0.0072051538725665,0.0018803191432076,0.0077296641036017,0.0018512331458865,0.0029429683892474,109.0,0.0,19.0,60.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1053240652423178,0.1392284419410936,0.6691344640382323,0.2344977967946406,0.110104601233568,0.1802819856188076,0.9056390622295662,0.2516291673878228,7258,4933,5,113,29,0.0762969286606215,0.0939794193446483,0.2069084251518168,0.1814151960866899,0.2647724200350561,0.256091650540979,0.7863118319475819,0.4591479170272448,12,15,6,2,0
0,PyPI,pyzmq-23.2.0,70173.0,23317.0,0.0001589842925827,0.0024509803921568,0.0003845435744778,4.455363909213189e-05,0.0063319147675941,0.0185199717491956,0.003684177781484,0.0084004738120049,0.0015518678360723,0.0144927536231884,0.0019692517394544,0.002245564515934,123.0,144.0,23.0,3974.0,1390.0,5.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,178.0,0.0,0.0,19.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0850078977372285,0.1485151333547803,0.7783283537314114,0.1956217818146278,0.120218724782277,0.1962409368819198,1.0,0.2717822215997982,26155,14353,60,451,121,0.0639147913031445,0.114215039110104,0.5,0.1547717145751626,0.14634568986447,0.1905956089808013,0.792481250360578,0.2958363892911637,1475,629,18,11,0
0,PyPI,qrcode-7.3.1,10399.0,3130.0,0.0005703018955746,0.0048971596474045,0.001144691566326,0.0007067137809187,0.0071670587484463,0.0373831775700934,0.0077195544051809,0.0085324232081911,0.0018418064247217,0.0095062510802558,0.0025289086315113,0.0027913468248429,19.0,0.0,2.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1019107387955274,0.1505173540190756,0.6804820237218406,0.2344977967946406,0.1037659334774566,0.1878438553136228,0.792481250360578,0.2197484934607567,3927,1186,34,43,3,0.0586244491986601,0.1015405245778199,0.2344977967946406,0.0586244491986601,0.5612919691702101,0.0881055011774891,0.6493974703476992,0.6053447197589547,3,0,2,0,0
0,PyPI,qtconsole-5.3.1,37196.0,11477.0,0.00019841330394,0.0021730694606131,0.0003967380688498,0.0002377425860879,0.0051383813993339,0.0273972602739726,0.0041022689792964,0.0063784499362869,0.0010181538150172,0.0071322836764903,0.0015325681249885,0.0014848990796389,97.0,0.0,86.0,300.0,102.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,48.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1390061967019686,0.1709101548860441,0.880247514883099,0.2717822215997982,0.117814646538822,0.1896834784069097,0.9591479170272448,0.2717822215997982,10237,7539,12,134,13,0.0491448426874899,0.1074805473513405,0.5,-0.0,0.2501948205657834,0.2115873632689306,0.8949645376549995,0.3467554252255609,87,34,13,2,0
0,PyPI,questionary-1.10.0,7720.0,2451.0,5.532965131552847e-05,0.0003526300323244,0.000123829145274,0.0,0.0062526527521517,0.0416666666666666,0.0092879425868343,0.0054611650485436,0.0021454740937703,0.0063119927862939,0.0018062080447652,0.0031556039173014,21.0,0.0,0.0,323.0,38.0,4.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1163219910303231,0.1484855228718627,0.5,0.2344977967946406,0.1153985562308411,0.1846843387677866,0.9854752972273344,0.2717822215997982,1850,2513,3,7,0,0.1181658533742428,0.0942632176157046,0.2069084251518168,0.2069084251518168,0.1634664470185245,0.2153580430026603,0.9025182662886329,0.3354328511527292,5,189,10,32,0
0,PyPI,quickbooks-pinecone-0.8.7,17149.0,7409.0,4.716706458634577e-05,0.0028653295128939,0.000289185771791,0.0,0.0101851829130722,0.018354860639021,0.0037201051841918,0.0124361997763532,0.0006282950224242,0.0041265474552957,0.0009671789361292,0.0009230070148533,31.0,0.0,16.0,123.0,56.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1651388362156556,0.1727317150701152,0.6854752972273344,0.325011210824177,0.1539828170214368,0.1899039734554224,0.8692572451581645,0.325011210824177,6864,2074,102,87,15,0.0437919788712234,0.1002951838752858,0.5,-0.0,0.2253029544579886,0.2218137626907123,0.7863118319475819,0.325011210824177,39,32,11,2,0
0,PyPI,qutip-4.7.0,286851.0,81106.0,0.0011171530612431,0.0137218738472888,0.0017555257881503,0.001360544217687,0.0085296759808817,0.0269647088964324,0.0049683492437889,0.0117960426179604,0.0042366723737572,0.0364955230647172,0.0041180730085523,0.005590937819048,730.0,0.0,86.0,1009.0,257.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.099211112826728,0.1663571858058684,1.0,0.2197484934607567,0.1168366073801177,0.1903186291837157,0.962938602599308,0.2516291673878228,96331,75550,1384,3104,44,0.0750451379927153,0.1235454450742552,0.5,0.1856161633204378,0.1178196366734978,0.1865250518600263,0.792481250360578,0.2717822215997982,209,308,8,3,0
0,PyPI,rasterio-1.3.0,91194.0,30722.0,0.0001292869004518,0.002362669816893,0.0003629184817953,0.0,0.0071584976301756,0.0209617755856966,0.0038761988698482,0.0094228504122497,0.0024625529542452,0.0137835975189524,0.0023642404720433,0.0036937541974479,758.0,1.0,70.0,960.0,332.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,101.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0816398645982223,0.139479257498254,0.9455305560363264,0.1956217818146278,0.1313382062193668,0.1995304674812748,0.9926140680171256,0.2958363892911637,34483,19209,355,1249,55,0.0973537218150856,0.1346210356209541,0.5783898247235197,0.2197484934607567,0.1863608339840411,0.1928367081925079,0.792481250360578,0.3096910973393819,235,139,15,4,6
0,PyPI,rating-0.1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0465116279069767,0.0465116279069767,0.0,0.0465116279069767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4791527247638272,0.006322572463507,0.4854752972273343,0.4823140109955807,0.4854752972273343,0.0,0.4854752972273343,0.4854752972273343,0,0,0,1,0,0.0919593000674741,0.1028136230570866,0.2069084251518168,0.2069084251518168,0.1448101387070574,0.1770423269189927,0.4854752972273343,0.2069084251518168,5,11,2,0,0
